id,poli,nomor_antrian,nama_pasien,nik,status,timestamp,dokter
47,Poli Umum,POLI-548,drg. Cagak Najmudin,5674909123691241,done,2025-02-15 08:00:00,dr. Eka
48,Poli Gigi,POLI-100,"dr. Hasna Hutagalung, M.Kom.",2812599889996658,waiting,2025-05-09 16:00:00,dr. Citra
49,Poli KB,POLI-065,"Dr. Malika Waluyo, M.Ak",4023537254551672,done,2025-01-02 08:00:00,dr. Budi
50,Poli Gigi,POLI-449,R. Gadang Rahayu,1171339285364463,waiting,2025-05-14 16:00:00,dr. Eka
51,Poli Lansia,POLI-503,Ayu Hartati,7744686887123918,done,2025-04-29 09:00:00,dr. Dina
52,Poli Gigi,POLI-510,"Gara Nuraini, M.Farm",3235846094652482,done,2025-03-27 15:00:00,dr. Budi
53,Poli KIA,POLI-535,Pia Hidayat,5561238434857812,serving,2025-01-08 14:00:00,dr. Eka
54,Poli Gigi,POLI-068,Olivia Siregar,0969296200232663,waiting,2025-04-29 10:00:00,dr. Andi
55,Poli KIA,POLI-780,Karma Yulianti,1805951107018989,done,2025-02-22 13:00:00,dr. Budi
56,Poli Gizi,POLI-634,drg. Wulan Simbolon,6845135828887814,done,2025-05-28 11:00:00,dr. Dina
57,Poli Gigi,POLI-176,KH. Makara Adriansyah,3390895807819216,done,2025-03-07 08:00:00,dr. Citra
58,Poli Lansia,POLI-162,Ida Uwais,6593758094627334,done,2025-01-10 08:00:00,dr. Citra
59,Poli Gizi,POLI-180,"Sutan Dariati Adriansyah, M.Kom.",9131665522636916,serving,2025-05-26 13:00:00,dr. Citra
60,Poli Gigi,POLI-221,"Pandu Laksmiwati, M.Pd",8843827378995782,serving,2025-04-25 18:00:00,dr. Dina
61,Poli Umum,POLI-378,"Dr. Kiandra Hardiansyah, S.Psi",4819152372580636,done,2025-05-19 18:00:00,dr. Fajar
62,Poli KIA,POLI-062,"Yono Maulana, M.Kom.",8408349395075916,serving,2025-01-31 16:00:00,dr. Dina
63,Poli KB,POLI-572,Eva Nugroho,4378886597644905,done,2025-03-16 10:00:00,dr. Fajar
64,Poli Umum,POLI-692,"Paiman Puspita, S.E.I",1763347003751592,done,2025-04-04 10:00:00,dr. Budi
65,Poli KIA,POLI-971,Bakianto Dabukke,3410783571391522,serving,2025-05-23 08:00:00,dr. Dina
66,Poli Gigi,POLI-226,Ozy Maheswara,8628075755983417,waiting,2025-02-13 15:00:00,dr. Citra
67,Poli Gizi,POLI-971,Damar Kusumo,9713271315405952,done,2025-05-22 16:00:00,dr. Dina
68,Poli Gigi,POLI-599,"Drs. Puti Yulianti, M.TI.",3223559617527309,done,2025-01-26 17:00:00,dr. Citra
69,Poli Lansia,POLI-987,Ibrani Gunarto,0967909985568088,done,2025-05-07 15:00:00,dr. Fajar
70,Poli Umum,POLI-537,Lanjar Suwarno,4839032345544891,done,2025-01-29 18:00:00,dr. Dina
71,Poli Umum,POLI-613,Kamila Hardiansyah,8695988956499092,waiting,2025-03-17 15:00:00,dr. Citra
72,Poli Gizi,POLI-550,Hasim Megantara,2353215808249169,done,2025-03-28 08:00:00,dr. Fajar
73,Poli Gizi,POLI-638,"Restu Sihombing, S.E.",6957083156519830,serving,2025-04-03 09:00:00,dr. Budi
74,Poli Umum,POLI-470,Mariadi Widiastuti,9727044617840916,done,2025-02-01 16:00:00,dr. Andi
75,Poli KB,POLI-568,Citra Lestari,6280553936683872,done,2025-03-15 14:00:00,dr. Eka
76,Poli KB,POLI-562,Salwa Kusmawati,2353588808997089,serving,2025-04-27 18:00:00,dr. Dina
77,Poli Lansia,POLI-211,"Elma Nugroho, S.E.I",1666104252106951,done,2025-05-24 16:00:00,dr. Eka
78,Poli Umum,POLI-513,Jarwa Saefullah,4456647577344403,serving,2025-04-28 16:00:00,dr. Dina
79,Poli KIA,POLI-525,Unjani Siregar,0505106728418645,done,2025-02-09 09:00:00,dr. Dina
80,Poli KB,POLI-266,"Zahra Wacana, S.Pd",8598280168127154,done,2025-05-04 15:00:00,dr. Andi
81,Poli Gizi,POLI-941,Balijan Winarno,2770342177700264,waiting,2025-04-13 11:00:00,dr. Dina
82,Poli Lansia,POLI-774,"Jelita Permata, S.Sos",2735213780614835,done,2025-02-14 12:00:00,dr. Andi
83,Poli Gizi,POLI-964,H. Slamet Pangestu,8799604870098842,waiting,2025-02-16 16:00:00,dr. Eka
84,Poli Lansia,POLI-254,"Hj. Nova Hutapea, M.Ak",1427658878804897,serving,2025-04-24 11:00:00,dr. Eka
85,Poli Umum,POLI-280,Bagas Kusumo,1325693581584109,done,2025-01-22 08:00:00,dr. Fajar
86,Poli Gigi,POLI-998,Rahmi Zulkarnain,5510494167166443,done,2025-03-17 17:00:00,dr. Andi
87,Poli KB,POLI-839,Asirwanda Nashiruddin,7978838779637936,waiting,2025-04-21 13:00:00,dr. Dina
88,Poli KB,POLI-339,"Cut Ratih Iswahyudi, S.H.",2906515999758010,waiting,2025-04-06 10:00:00,dr. Dina
89,Poli Umum,POLI-930,Harjaya Wacana,2844683045749517,done,2025-04-23 12:00:00,dr. Andi
90,Poli Gizi,POLI-460,Zelda Irawan,6271517008606297,waiting,2025-03-22 17:00:00,dr. Budi
91,Poli KIA,POLI-522,Galur Irawan,1048843371024670,serving,2025-05-17 16:00:00,dr. Andi
92,Poli Gizi,POLI-364,Olivia Maheswara,7434074842968999,done,2025-01-31 08:00:00,dr. Budi
93,Poli Gigi,POLI-408,Upik Halim,9667142154139276,done,2025-04-02 13:00:00,dr. Budi
94,Poli Lansia,POLI-629,R. Ina Wahyudin,2631558915167210,done,2025-02-19 11:00:00,dr. Dina
95,Poli Gizi,POLI-533,"Hana Sinaga, S.Sos",1346326023440449,done,2025-05-21 09:00:00,dr. Andi
96,Poli Lansia,POLI-247,Nasim Gunawan,9331193931214248,done,2025-05-10 10:00:00,dr. Budi
97,Poli Gigi,POLI-562,Ratna Yolanda,1760414927878602,waiting,2025-05-14 14:00:00,dr. Budi
98,Poli Lansia,POLI-461,"Dr. Rafi Sihombing, S.Psi",1102639351362647,done,2025-02-20 15:00:00,dr. Budi
99,Poli Gizi,POLI-646,drg. Martaka Wahyuni,0980946398156338,waiting,2025-03-21 18:00:00,dr. Fajar
100,Poli KIA,POLI-051,Bakijan Wasita,4751067279008114,done,2025-05-08 16:00:00,dr. Eka
101,Poli KIA,POLI-589,"drg. Cornelia Sudiati, S.Pt",9055686819351064,done,2025-03-30 18:00:00,dr. Fajar
102,Poli Gizi,POLI-339,Tania Suryatmi,3652303122960895,done,2025-01-25 18:00:00,dr. Dina
103,Poli KIA,POLI-450,Jinawi Mulyani,6378157772018270,done,2025-02-13 16:00:00,dr. Dina
104,Poli KIA,POLI-081,"Cut Ellis Nasyiah, S.Ked",8134422558825774,done,2025-03-10 16:00:00,dr. Fajar
105,Poli Lansia,POLI-710,"Kasiyah Firmansyah, S.H.",3414148914971310,done,2025-01-03 17:00:00,dr. Dina
106,Poli Gizi,POLI-860,Putu Tampubolon,1015940704908469,done,2025-04-05 12:00:00,dr. Fajar
107,Poli KIA,POLI-989,Cinthia Sihombing,2073336389938601,done,2025-01-14 08:00:00,dr. Andi
108,Poli Gigi,POLI-863,"Gamblang Mulyani, S.Ked",7158218431945767,done,2025-03-11 08:00:00,dr. Eka
109,Poli KB,POLI-697,Tomi Tamba,6150528541438020,done,2025-05-25 18:00:00,dr. Budi
110,Poli Gigi,POLI-485,Banara Wacana,7667271514053622,serving,2025-05-09 16:00:00,dr. Eka
111,Poli Gigi,POLI-168,T. Gamanto Ardianto,0152670087532910,done,2025-02-17 16:00:00,dr. Budi
112,Poli KB,POLI-198,Harjasa Safitri,2273808837809577,done,2025-03-16 09:00:00,dr. Fajar
113,Poli Gizi,POLI-246,"Tgk. Ella Farida, S.H.",3271795889676200,waiting,2025-02-04 09:00:00,dr. Andi
114,Poli KB,POLI-493,Ciaobella Purwanti,0865310346229746,done,2025-05-10 13:00:00,dr. Budi
115,Poli KB,POLI-869,Lukita Winarno,2109514760132914,done,2025-04-06 12:00:00,dr. Andi
116,Poli Gigi,POLI-829,Putri Firmansyah,2094882756783523,done,2025-05-15 15:00:00,dr. Andi
117,Poli Gigi,POLI-736,Tania Wulandari,2595242230008372,done,2025-01-17 16:00:00,dr. Eka
118,Poli KIA,POLI-464,Dadi Saptono,5539479384240123,done,2025-01-13 17:00:00,dr. Fajar
119,Poli Gizi,POLI-052,Titin Handayani,0948861157621458,done,2025-01-18 16:00:00,dr. Dina
120,Poli Umum,POLI-828,Kezia Nurdiyanti,4829953202318496,done,2025-05-30 08:00:00,dr. Dina
121,Poli Gigi,POLI-382,Ir. Titin Narpati,7072684658475609,done,2025-03-16 13:00:00,dr. Dina
122,Poli KB,POLI-248,Darimin Usamah,1811090731529905,serving,2025-04-09 15:00:00,dr. Dina
123,Poli Gigi,POLI-121,Hj. Siska Lailasari,4728903093276525,waiting,2025-01-26 12:00:00,dr. Eka
124,Poli Gizi,POLI-691,"dr. Hamima Halimah, S.Gz",1349031960392450,done,2025-03-26 13:00:00,dr. Citra
125,Poli Gizi,POLI-479,"Respati Prastuti, S.Pd",5421025352692815,serving,2025-05-21 10:00:00,dr. Andi
126,Poli Lansia,POLI-596,"Dariati Permata, M.Kom.",5976920776159357,waiting,2025-04-30 13:00:00,dr. Fajar
127,Poli KB,POLI-774,"Hj. Anastasia Adriansyah, M.Ak",8308086037068635,done,2025-04-21 08:00:00,dr. Eka
128,Poli Gizi,POLI-155,"Hasim Hariyah, M.M.",7002114002621828,done,2025-04-16 11:00:00,dr. Citra
129,Poli Gizi,POLI-124,Bagya Fujiati,3218384100457278,done,2025-05-02 11:00:00,dr. Budi
130,Poli KB,POLI-427,Ir. Budi Nashiruddin,9313804094280486,serving,2025-05-21 15:00:00,dr. Fajar
131,Poli Gigi,POLI-551,Nugraha Jailani,8218219117780828,done,2025-03-06 14:00:00,dr. Andi
132,Poli Gigi,POLI-315,"Ana Prakasa, S.H.",6741320739024273,done,2025-05-13 11:00:00,dr. Andi
133,Poli KIA,POLI-239,"Dr. Daniswara Suartini, S.Pd",7782202680427782,done,2025-05-22 11:00:00,dr. Andi
134,Poli KIA,POLI-881,Lurhur Oktaviani,1428115679480278,waiting,2025-03-14 14:00:00,dr. Eka
135,Poli Lansia,POLI-096,Makara Sirait,9180868922433799,waiting,2025-03-02 18:00:00,dr. Eka
136,Poli Gigi,POLI-596,R. Yunita Januar,1668182619724584,done,2025-01-21 09:00:00,dr. Eka
137,Poli Lansia,POLI-924,Tasnim Farida,1623804186495105,done,2025-05-07 14:00:00,dr. Dina
138,Poli Gigi,POLI-392,"Sutan Dasa Samosir, S.Pt",9818897277128531,done,2025-03-21 17:00:00,dr. Andi
139,Poli KB,POLI-261,"Sutan Bahuraksa Firgantoro, S.E.I",5602411784905792,done,2025-01-27 14:00:00,dr. Budi
140,Poli Gigi,POLI-923,Betania Samosir,4977519878525503,done,2025-01-10 11:00:00,dr. Andi
141,Poli Gigi,POLI-338,"Drs. Jessica Hutagalung, S.Farm",3430262151033159,waiting,2025-02-21 11:00:00,dr. Dina
142,Poli Umum,POLI-095,Sutan Unggul Andriani,4517837470034390,done,2025-03-10 14:00:00,dr. Citra
143,Poli KIA,POLI-876,Vanesa Mansur,3627637544184579,done,2025-03-05 12:00:00,dr. Budi
144,Poli Gizi,POLI-839,Belinda Susanti,7812255880918989,done,2025-01-01 14:00:00,dr. Fajar
145,Poli KB,POLI-884,Samiah Iswahyudi,6887079119419747,done,2025-02-06 11:00:00,dr. Dina
146,Poli Lansia,POLI-819,Rini Rahayu,6719365411038320,waiting,2025-03-13 11:00:00,dr. Fajar
147,Poli KB,POLI-151,Prasetyo Wijaya,9935550739480179,done,2025-04-12 18:00:00,dr. Budi
148,Poli Gigi,POLI-634,Rahman Lestari,3336823951784373,serving,2025-05-08 17:00:00,dr. Budi
149,Poli KB,POLI-678,Paulin Firmansyah,1302797227146832,done,2025-03-19 10:00:00,dr. Fajar
150,Poli Umum,POLI-719,Gasti Widiastuti,2781528959424103,done,2025-02-09 11:00:00,dr. Budi
151,Poli KIA,POLI-417,Tasdik Novitasari,4874781473451818,done,2025-02-19 10:00:00,dr. Budi
152,Poli KB,POLI-526,Cinthia Prastuti,9008757107273470,done,2025-02-11 18:00:00,dr. Dina
153,Poli KIA,POLI-150,Lanjar Wijaya,0720021520951793,done,2025-02-06 09:00:00,dr. Eka
154,Poli Umum,POLI-711,Hartaka Lazuardi,4524548245104091,done,2025-04-13 17:00:00,dr. Citra
155,Poli KB,POLI-450,"Eva Sihombing, S.Ked",5186006827980298,done,2025-05-08 14:00:00,dr. Dina
156,Poli Umum,POLI-643,Hj. Ulya Tampubolon,4618840424351911,done,2025-04-07 18:00:00,dr. Andi
157,Poli Gizi,POLI-843,Rahmat Budiman,6350677038811949,done,2025-04-11 17:00:00,dr. Eka
158,Poli Umum,POLI-439,Puti Ratna Manullang,1573841918967774,done,2025-04-05 09:00:00,dr. Dina
159,Poli Umum,POLI-931,Tgk. Indah Padmasari,0813319729658923,done,2025-05-14 12:00:00,dr. Dina
160,Poli Gigi,POLI-493,Dina Wahyudin,0860861347613180,serving,2025-04-16 12:00:00,dr. Fajar
161,Poli KB,POLI-881,Rika Anggriawan,6915071605191950,done,2025-04-30 10:00:00,dr. Dina
162,Poli KB,POLI-851,Opung Firmansyah,6132567775277355,serving,2025-04-16 11:00:00,dr. Eka
163,Poli Umum,POLI-229,Devi Rajasa,6065628203535595,done,2025-05-26 11:00:00,dr. Andi
164,Poli Gigi,POLI-835,"Paris Haryanti, S.H.",9003518006772198,done,2025-02-28 11:00:00,dr. Budi
165,Poli Gigi,POLI-920,Asmianto Tamba,7521996308103207,waiting,2025-04-27 08:00:00,dr. Eka
166,Poli Umum,POLI-903,Pangestu Sirait,2935649129898753,done,2025-01-27 12:00:00,dr. Citra
167,Poli Gigi,POLI-944,Vera Nugroho,3409613830101713,done,2025-03-08 17:00:00,dr. Citra
168,Poli Umum,POLI-405,Ghaliyati Andriani,3521526109062545,done,2025-01-06 08:00:00,dr. Budi
169,Poli KB,POLI-914,Uda Oktaviani,2833637502891046,done,2025-03-18 09:00:00,dr. Citra
170,Poli Lansia,POLI-273,"Puti Gasti Firmansyah, M.Pd",3758521836058331,done,2025-02-01 11:00:00,dr. Fajar
171,Poli KIA,POLI-802,Ajimat Mardhiyah,2654671274973849,waiting,2025-04-09 15:00:00,dr. Andi
172,Poli Gigi,POLI-763,Makara Mustofa,1427882753224362,done,2025-05-14 13:00:00,dr. Budi
173,Poli KIA,POLI-239,Galih Wasita,7671924117220535,done,2025-03-24 15:00:00,dr. Eka
174,Poli Lansia,POLI-884,Prakosa Rahmawati,1459165198555274,waiting,2025-05-18 15:00:00,dr. Citra
175,Poli KB,POLI-658,Safina Pratama,2621340981922183,done,2025-05-26 10:00:00,dr. Dina
176,Poli Lansia,POLI-744,Febi Sihombing,9674712296652145,done,2025-02-16 17:00:00,dr. Budi
177,Poli Gizi,POLI-263,"Nurul Prasetyo, S.H.",3273963197923941,done,2025-03-09 08:00:00,dr. Budi
178,Poli Gizi,POLI-160,"Cut Yunita Zulaika, M.Kom.",5231933704127419,waiting,2025-04-03 11:00:00,dr. Fajar
179,Poli KIA,POLI-760,Samiah Kuswandari,0425970620867534,waiting,2025-02-18 18:00:00,dr. Dina
180,Poli Gigi,POLI-233,Ophelia Winarno,1673722284535065,done,2025-03-06 08:00:00,dr. Budi
181,Poli Lansia,POLI-460,Hasna Marbun,6115418704803854,done,2025-05-27 12:00:00,dr. Budi
182,Poli Lansia,POLI-831,Adiarja Rajata,9890995737921130,done,2025-02-06 08:00:00,dr. Dina
183,Poli Lansia,POLI-094,Cut Rina Siregar,4073487067749388,done,2025-03-20 11:00:00,dr. Budi
184,Poli Gizi,POLI-414,Yunita Gunawan,6946730612558529,done,2025-05-06 16:00:00,dr. Fajar
185,Poli Gizi,POLI-442,"Drs. Oskar Gunarto, S.IP",0777676326921704,waiting,2025-04-07 15:00:00,dr. Fajar
186,Poli Lansia,POLI-180,Nyana Narpati,0366733979944751,done,2025-02-28 09:00:00,dr. Fajar
187,Poli Lansia,POLI-547,Yani Yulianti,6478241390302545,done,2025-03-22 08:00:00,dr. Eka
188,Poli Gigi,POLI-334,Ella Putra,2478515038494561,done,2025-04-01 08:00:00,dr. Eka
189,Poli Gizi,POLI-361,Nova Januar,3819649871684361,done,2025-01-19 12:00:00,dr. Budi
190,Poli Gigi,POLI-008,Ayu Rahimah,9777995535601064,done,2025-05-21 17:00:00,dr. Citra
191,Poli KB,POLI-428,Drs. Akarsana Thamrin,6462913737436416,done,2025-03-06 16:00:00,dr. Andi
192,Poli Umum,POLI-155,Hardi Gunarto,8002330911172314,serving,2025-03-02 15:00:00,dr. Fajar
193,Poli KB,POLI-101,Raina Kuswoyo,5197546601890043,done,2025-05-29 15:00:00,dr. Andi
194,Poli Gigi,POLI-519,"KH. Jaeman Simbolon, S.Ked",3329216418787686,waiting,2025-05-03 16:00:00,dr. Eka
195,Poli KB,POLI-828,Anom Saputra,7298003128390283,waiting,2025-04-18 11:00:00,dr. Fajar
196,Poli KB,POLI-090,"Tgk. Dewi Wastuti, S.Ked",3603055330567338,done,2025-01-16 14:00:00,dr. Citra
197,Poli Gizi,POLI-015,Bagya Oktaviani,0943634022110338,done,2025-03-08 15:00:00,dr. Dina
198,Poli KIA,POLI-413,"Ida Uwais, S.E.I",8559830822186404,done,2025-05-04 09:00:00,dr. Andi
199,Poli Lansia,POLI-176,Galiono Natsir,5822003450892781,done,2025-03-04 16:00:00,dr. Dina
200,Poli KB,POLI-080,R.M. Panca Yuniar,5308347449591647,done,2025-01-21 08:00:00,dr. Andi
201,Poli Gizi,POLI-147,R. Kasiyah Nurdiyanti,9943067649998335,serving,2025-03-07 12:00:00,dr. Fajar
202,Poli KB,POLI-209,Padma Laksita,8035136972904433,done,2025-05-28 08:00:00,dr. Eka
203,Poli Gizi,POLI-357,"Dr. Ratih Utami, S.I.Kom",3704238815647063,done,2025-03-22 09:00:00,dr. Andi
204,Poli Gigi,POLI-256,"R. Rahayu Sudiati, M.Ak",4979308128182340,done,2025-01-10 12:00:00,dr. Eka
205,Poli Umum,POLI-313,Kamila Yulianti,8768489255288196,done,2025-05-09 13:00:00,dr. Dina
206,Poli Gizi,POLI-206,Opung Lazuardi,2242807787518339,done,2025-05-20 09:00:00,dr. Fajar
207,Poli Gigi,POLI-953,Hafshah Permata,7607336946619117,waiting,2025-05-31 16:00:00,dr. Budi
208,Poli Gizi,POLI-107,Gilda Rahmawati,1304718863993967,done,2025-03-26 18:00:00,dr. Dina
209,Poli Gigi,POLI-338,Gandi Tarihoran,3847225150948427,done,2025-05-04 14:00:00,dr. Andi
210,Poli Gizi,POLI-451,Violet Uyainah,9052571509871604,waiting,2025-01-15 11:00:00,dr. Citra
211,Poli Umum,POLI-807,Legawa Latupono,5387175096569346,done,2025-05-19 11:00:00,dr. Eka
212,Poli Umum,POLI-121,Drs. Bajragin Ramadan,2953712468547686,done,2025-05-06 09:00:00,dr. Dina
213,Poli Gizi,POLI-405,Lili Samosir,2409930691866381,waiting,2025-01-16 08:00:00,dr. Andi
214,Poli KIA,POLI-764,Yulia Samosir,8859890372860839,done,2025-03-14 12:00:00,dr. Budi
215,Poli Gigi,POLI-426,"Ade Pangestu, M.TI.",0738055106860772,waiting,2025-03-25 14:00:00,dr. Fajar
216,Poli Gigi,POLI-391,Arsipatra Rahmawati,2261691406450784,done,2025-01-19 16:00:00,dr. Eka
217,Poli KIA,POLI-356,"R. Rahmi Wahyudin, S.T.",8972712977873445,done,2025-03-10 09:00:00,dr. Fajar
218,Poli KB,POLI-564,Rahayu Widodo,2501397328418567,done,2025-05-01 15:00:00,dr. Eka
219,Poli Lansia,POLI-044,Balangga Nashiruddin,8809233156116294,done,2025-03-15 12:00:00,dr. Andi
220,Poli KIA,POLI-389,"Ellis Ramadan, S.Psi",6084079191192498,waiting,2025-01-13 15:00:00,dr. Citra
221,Poli Umum,POLI-018,Dono Winarno,9757744630715274,done,2025-03-30 09:00:00,dr. Eka
222,Poli Gigi,POLI-088,Taufan Mulyani,1276504224752539,done,2025-02-03 11:00:00,dr. Fajar
223,Poli Umum,POLI-912,Karya Tamba,7814259466424707,done,2025-03-23 13:00:00,dr. Fajar
224,Poli Gizi,POLI-891,Laksana Waluyo,9509697409401014,done,2025-05-21 13:00:00,dr. Andi
225,Poli KB,POLI-551,"Agnes Firgantoro, S.E.",7404461621300736,done,2025-02-19 18:00:00,dr. Andi
226,Poli Gigi,POLI-036,"Jamalia Samosir, S.T.",7094342079859782,waiting,2025-02-04 11:00:00,dr. Eka
227,Poli Gigi,POLI-130,Luwar Puspasari,8874889806722102,waiting,2025-03-02 15:00:00,dr. Budi
228,Poli Gigi,POLI-567,Pangestu Sitompul,5220367325869160,done,2025-01-25 14:00:00,dr. Andi
229,Poli KIA,POLI-734,Mulya Budiyanto,7875666965228904,serving,2025-02-16 12:00:00,dr. Citra
230,Poli Gizi,POLI-381,"Drs. Farah Siregar, S.Psi",4372688632618490,done,2025-03-29 18:00:00,dr. Dina
231,Poli Gizi,POLI-724,"Tgk. Wani Yolanda, S.Farm",6735796275984910,waiting,2025-04-30 11:00:00,dr. Dina
232,Poli Gigi,POLI-051,"Endah Marbun, M.Kom.",0096661266783711,done,2025-05-09 08:00:00,dr. Fajar
233,Poli Umum,POLI-880,Dariati Marbun,9094017538810717,waiting,2025-05-04 12:00:00,dr. Citra
234,Poli Umum,POLI-083,Yuliana Maheswara,8925671969044980,done,2025-03-28 08:00:00,dr. Andi
235,Poli KB,POLI-030,"R.A. Latika Widiastuti, M.Kom.",1764129704275015,waiting,2025-05-29 16:00:00,dr. Budi
236,Poli KB,POLI-479,Johan Budiman,3693514407155817,serving,2025-02-02 09:00:00,dr. Dina
237,Poli Umum,POLI-175,"Bakianto Hastuti, M.TI.",0626920240419042,done,2025-02-07 15:00:00,dr. Dina
238,Poli Umum,POLI-481,H. Hadi Siregar,9897490297769358,done,2025-03-17 08:00:00,dr. Citra
239,Poli KB,POLI-468,Kani Nainggolan,5290922322927508,done,2025-04-09 17:00:00,dr. Eka
240,Poli Gizi,POLI-782,"Gasti Situmorang, S.Kom",2073693809157731,done,2025-01-11 11:00:00,dr. Eka
241,Poli Gizi,POLI-793,Aswani Haryanti,6822657690693955,done,2025-02-17 10:00:00,dr. Dina
